index,0,1
44.0.0,Sold by,Vitabath4.9/54.9 out of 5 stars store rating(392 store reviews)
44.0.1,Sold by,eBay - 433433
44.0.2,Sold by,truegether.com/user/433433.html
44.0.3,Sold by,Bonanza - Xperts-Bonanza Mall
44.0.4,Sold by,eCrater - xpertsedge
44.1.0,Details & special offers,Spend $65 for free delivery
44.1.1,Details & special offers,"Free delivery by Wed, May 18"
44.1.2,Details & special offers,Free delivery
44.1.3,Details & special offers,Free delivery
44.1.4,Details & special offers,Free delivery
44.2.0,Item price,$9.25
44.2.1,Item price,$21.99
44.2.2,Item price,$21.55
44.2.3,Item price,$21.99
44.2.4,Item price,$21.99
44.3.0,Total price,$19.20
44.3.1,Total price,$23.31
44.3.2,Total price,$21.55
44.3.3,Total price,$23.31
44.3.4,Total price,$21.99
12.0.0,Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
12.0.1,Sold by,Walmart - Euro Pharm
12.0.2,Sold by,eBay3 more offersHide offers
12.0.3,Sold by,ihealthee
12.1.0,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
12.1.1,Details & special offers,Free delivery
12.1.2,Details & special offers,$1.89 delivery
12.1.3,Details & special offers,Free delivery
12.2.0,Item price,"GREAT PICKThis product and store are highly rated, and the price is competitive.$28.05"
12.2.1,Item price,$33.00
12.2.2,Item price,$31.99
12.2.3,Item price,$46.39
12.3.0,Total price,$36.00
12.3.1,Total price,$34.98
12.3.2,Total price,$35.80
12.3.3,Total price,$49.17
6.0.0,Sold by,Vitabath4.9/54.9 out of 5 stars store rating(392 store reviews)
6.0.1,Sold by,Walgreens.com4.6/54.6 out of 5 stars store rating(509 store reviews)
6.0.2,Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
6.0.3,Sold by,Vitacost.com4.6/54.6 out of 5 stars store rating(8.3K store reviews)
