,depth,element,height,parentNode,text,width,x,xpath,y,attributes.charset,attributes.content,attributes.name,attributes.itemprop,attributes.class,attributes.href,attributes.aria-label,attributes.fill,attributes.height,attributes.stroke,attributes.stroke-width,attributes.viewBox,attributes.width,attributes.id,attributes.type,attributes.value,attributes.autocapitalize,attributes.autocomplete,attributes.spellcheck,attributes.role,attributes.style,attributes.tabindex,attributes.seo-pixel,attributes.aria-expanded,attributes.data-ved,attributes.xmlns,price,attributes.aria-hidden,attributes.alt,attributes.data-deferred,attributes.src,attributes.focusable
0,3,META,0,HEAD,,0.0,0.0,/html/head/meta[1],0.0,UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,META,0,HEAD,,0.0,0.0,/html/head/meta[2],0.0,,origin,referrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,META,0,HEAD,,0.0,0.0,/html/head/meta[3],0.0,,/images/branding/googleg/1x/googleg_standard_color_128dp.png,,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,TITLE,0,HEAD,rear windshield wipers - Google Search,0.0,0.0,/html/head/title,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,DIV,67,HEADER#hdr,,144.0,0.0,//*[@id='hdr']/div[1],-1732.0,,,,,cOl4Id,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,A,16,DIV.cOl4Id,,92.0,24.0,//*[@id='hdr']/div[1]/a,-1677.0,,,,,,/?sa=X&ved=0ahUKEwiA_caBzP73AhXNWM0KHVtuAxgQOwgC,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,svg,36,A,,92.0,24.0,//*[@id='hdr']/div[1]/a/svg,-1700.0,,,,,,,Google,none,36,#4285f4,18,0 0 520 174,92,,,,,,,,,,,,,,,,,,,
7,4,DIV,39,HEADER#hdr,×,652.0,164.0,//*[@id='hdr']/div[2],-1708.0,,,,,bz1lBb,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,FORM,39,DIV.bz1lBb,×,652.0,164.0,//*[@id='sf'],-1708.0,,,,,Pg70bf,,,,,,,,,sf,,,,,,,,,,,,,,,,,,
9,6,INPUT,0,FORM#sf.Pg70bf,,0.0,0.0,//*[@id='sf']/input[1],0.0,,,gl,,,,,,,,,,,,hidden,US,,,,,,,,,,,,,,,,
10,6,INPUT,0,FORM#sf.Pg70bf,,0.0,0.0,//*[@id='sf']/input[2],0.0,,,hl,,,,,,,,,,,,hidden,en,,,,,,,,,,,,,,,,
